NodeA,NodeB,flag,Nt,connection_T,Raa,Rab,Rac,Rba,Rbb,Rbc,Rca,Rcb,Rcc,Xaa,Xab,Xac,Xba,Xbb,Xbc,Xca,Xcb,Xcc,Baa,Bab,Bac,Bba,Bbb,Bbc,Bca,Bcb,Bcc,linelength,Config,PdA_dis,QdA_dis,PdB_dis,QdB_dis,PdC_dis,QdC_dis,Load_Model_dis,Int_1_x,Int_1_y,Int_2_x,Int_2_y,Int_3_x,Int_3_y,NodeA_F,NodeB_F,flag_F,NodeA_T,NodeB_T,flag_T,NodeA_C,NodeB_C
1,2,0,0,None,0,0,0,0,0.044054924,0,0,0,0,0,0,0,0,0.044661458,0,0,0,0,0,0,0,0,1.50E-07,0,0,0,0,175,Line10,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer81
1,3,0,0,None,0,0,0,0,0,0,0,0,0.062935606,0,0,0,0,0,0,0,0,0.063802083,0,0,0,0,0,0,0,0,2.14E-07,250,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer93
1,7,0,0,None,0.026,0.008863636,0.008721591,0.008863636,0.026511364,0.008977273,0.008721591,0.008977273,0.026221591,0.06125,0.028505682,0.021869318,0.028505682,0.059556818,0.024068182,0.021869318,0.024068182,0.060517045,3.23E-07,-1.04E-07,-3.97E-08,-1.04E-07,3.40E-07,-6.62E-08,-3.97E-08,-6.62E-08,3.07E-07,300,Line1,0,0,0,0,0,0,None,,,,,,,13,switch1,3,switch1,152,3,90,customer1
3,4,0,0,None,0,0,0,0,0,0,0,0,0.050348485,0,0,0,0,0,0,0,0,0.051041667,0,0,0,0,0,0,0,0,1.71E-07,200,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer94
3,5,0,0,None,0,0,0,0,0,0,0,0,0.081816288,0,0,0,0,0,0,0,0,0.082942708,0,0,0,0,0,0,0,0,2.78E-07,325,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer95
5,6,0,0,None,0,0,0,0,0,0,0,0,0.062935606,0,0,0,0,0,0,0,0,0.063802083,0,0,0,0,0,0,0,0,2.14E-07,250,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer96
7,8,0,0,None,0.017333333,0.005909091,0.005814394,0.005909091,0.017674242,0.005984848,0.005814394,0.005984848,0.017481061,0.040833333,0.019003788,0.014579545,0.019003788,0.039704545,0.016045455,0.014579545,0.016045455,0.040344697,2.15E-07,-6.94E-08,-2.64E-08,-6.94E-08,2.27E-07,-4.41E-08,-2.64E-08,-4.41E-08,2.04E-07,200,Line1,0,0,0,0,0,0,None,,,,,,,18,switch2,3,switch2,135,3,90,customer2
8,9,0,0,None,0.056642045,0,0,0,0,0,0,0,0,0.057421875,0,0,0,0,0,0,0,0,1.93E-07,0,0,0,0,0,0,0,0,225,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer59
8,12,0,0,None,0,0,0,0,0.056642045,0,0,0,0,0,0,0,0,0.057421875,0,0,0,0,0,0,0,0,1.93E-07,0,0,0,0,225,Line10,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer82
8,13,0,0,None,0.026,0.008863636,0.008721591,0.008863636,0.026511364,0.008977273,0.008721591,0.008977273,0.026221591,0.06125,0.028505682,0.021869318,0.028505682,0.059556818,0.024068182,0.021869318,0.024068182,0.060517045,3.23E-07,-1.04E-07,-3.97E-08,-1.04E-07,3.40E-07,-6.62E-08,-3.97E-08,-6.62E-08,3.07E-07,300,Line1,0,0,0,0,0,0,None,,,,,,,60,switch3,3,switch3,160,3,90,customer3
9,RG2,2,0,None,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RGA,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer119
