bus_id,flag,IDNO,type,DGvoltage_A,DGvoltage_B,DGvoltage_C,DG_Type,CapA(Var),CapB(Var),CapC(Var),Load Model,BW_reg,PT_reg,CT_reg,vol_reg_A,vol_reg_B,vol_reg_C,control_phase_reg,TapA,TapB,TapC,Vbase,node_phases,pos_x,pos_y,loc_x,loc_y,switch_id,switch_phases,from_bus,to_bus,switch_status,flag_sw,Config,locsw_x,locsw_y,customer_id,loadpoint,PA,QA,PB,QB,PC,QC
1,0,1,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.88802023,116.3573212,0,0,switch1,ABCN,13,152,CLOSED,3,switch,0,0,customer1,90,0,0,1.3333,0.6667,0,0
2,0,2,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,BN,39.89221895,116.3570616,0,0,switch2,ABCN,18,135,CLOSED,3,switch,0,0,customer2,90,0,0,1.3333,0.6667,0,0
3,0,3,1,,,,,,,,,,,,,,,,0,0,0,2401.8,CN,39.88209899,116.357386,0,0,switch3,ABCN,60,160,CLOSED,3,switch,0,0,customer3,90,0,0,1.3333,0.6667,0,0
4,0,4,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.87871062,116.357386,0,0,switch4,ABCN,61,XF1,CLOSED,3,switch,0,0,customer4,90,0,0,1.3333,0.6667,0,0
5,0,5,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,CN,39.8819081,116.3627965,0,0,switch5,ABCN,97,197,CLOSED,3,switch,0,0,customer5,90,0,0,1.3333,0.6667,0,0
6,0,6,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,CN,39.88186038,116.3680827,0,0,switch6,ABCN,RG1,149,CLOSED,3,switch,0,0,customer6,90,0,0,1.3333,0.6667,0,0
7,0,7,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.88773954,116.3634184,0,0,switch7,AN,54,94,OPEN,3,switch,0,0,customer7,90,0,0,1.3333,0.6667,0,0
8,0,8,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.88797813,116.3681448,0,0,switch8,ABCN,300,151,OPEN,3,switch,0,0,customer8,90,0,0,1.3333,0.6667,0,0
9,0,9,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.89427665,116.3683936,0,0,,,,,,,,,,customer9,90,0,0,1.3333,0.6667,0,0
10,0,10,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,AN,39.89540263,116.3627456,0,0,,,,,,,,,,customer10,90,0,0,1.3333,0.6667,0,0
11,0,11,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,AN,39.89801884,116.3549511,0,0,,,,,,,,,,customer11,90,0,0,1.3333,0.6667,0,0
12,0,12,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,BN,39.88524636,116.3679504,0,0,,,,,,,,,,customer12,90,0,0,1.3333,0.6667,0,0
13,0,13,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.88820902,116.3782708,0,0,,,,,,,,,,customer13,90,0,0,1.3333,0.6667,0,0
14,0,14,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.89823055,116.3619916,0,0,,,,,,,,,,customer14,90,0,0,1.3333,0.6667,0,0
15,0,15,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.88194482,116.3784629,0,0,,,,,,,,,,customer15,90,0,0,1.3333,0.6667,0,0
16,0,16,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.8810391,116.3792201,0,0,,,,,,,,,,customer16,90,0,0,1.3333,0.6667,0,0
17,0,17,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.88194374,116.3811448,0,0,,,,,,,,,,customer17,90,0,0,1.3333,0.6667,0,0
18,0,18,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.90365922,116.3776819,0,0,,,,,,,,,,customer18,90,0,0,1.3333,0.6667,0,0
19,0,19,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.90360722,116.3752925,0,0,,,,,,,,,,customer19,90,0,0,1.3333,0.6667,0,0
20,0,20,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,AN,39.9037494,116.3717825,0,0,,,,,,,,,,customer20,90,0,0,1.3333,0.6667,0,0
21,0,21,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.90976351,116.3756866,0,0,,,,,,,,,,customer21,90,0,0,1.3333,0.6667,0,0
22,0,22,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,BN,39.90981795,116.3703299,0,0,,,,,,,,,,customer22,90,0,0,1.3333,0.6667,0,0
23,0,23,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.92108226,116.3754173,0,0,,,,,,,,,,customer23,90,0,0,1.3333,0.6667,0,0
24,0,24,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.92098263,116.3675287,0,0,,,,,,,,,,customer24,90,0,0,1.3333,0.6667,0,0
25,0,25,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.92625116,116.3741987,0,0,,,,,,,,,,customer25,90,0,0,1.3333,0.6667,0,0
26,0,26,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ACN,39.9260486,116.3672469,0,0,,,,,,,,,,customer26,90,0,0,1.3333,0.6667,0,0
27,0,27,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ACN,39.9308333,116.3620075,0,0,,,,,,,,,,customer27,90,0,0,1.3333,0.6667,0,0
28,0,28,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,ABCN,39.93139114,116.3741503,0,0,,,,,,,,,,customer28,90,0,0,1.3333,0.6667,0,0
29,0,29,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,ABCN,39.94032534,116.3730904,0,0,,,,,,,,,,customer29,90,0,0,1.3333,0.6667,0,0
30,0,30,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.94658435,116.3739985,0,0,,,,,,,,,,customer30,90,0,0,1.3333,0.6667,0,0
31,0,31,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.93905737,116.3663345,0,0,,,,,,,,,,customer31,80,0,0,1.3333,0.6667,0,0
32,0,32,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.94514591,116.3658354,0,0,,,,,,,,,,customer32,80,0,0,1.3333,0.6667,0,0
