"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
49,2013-01-01,2013,"201301","20130101",97.5,96.25,93.5,95.5,93.25,95.25,95.75,94.75,98.5,98.75,97.25,97.5,97.75,95.25,96.5,95.75,96,97,96.25,97.5,97.5,97.5,98.25,96.5,97.25,95.5,91.25,93.75,93.75,95.5,96.5,97,96.75,99.25,97,98,98.25,97.25,98,96,95.5,97.75,98.5,96.75,98,98.25,98.25,98.5,95.5,93,92.5,94.75,95.5,95.5,96.5,97,98.25,98.5,96.75,97.75,97.5,97.5,97.5,95.75,96.25,97.75,98.5,98.75,98.25,97.5,97.75,97
49,2013-01-02,2013,"201301","20130102",96.25,96.5,96.75,94.75,94,91.25,94.25,96,98.25,99,98.5,98.5,97,96.25,95.25,95,96.75,97.25,97.75,98,97.75,97.25,97.75,97.75,96.25,95.5,92,92.25,93.75,94.5,96.75,96,98,98.75,98.5,97.5,96.5,95.5,94.25,96,97.5,97.5,98.25,99.25,99,98.25,98,98.25,96.75,95.75,93.25,93,92.25,94,93.25,94.5,97,97.75,97.5,98.5,96.75,97,93.5,96,95.5,96.75,97,98,98,98,97.25,97.25
49,2013-01-03,2013,"201301","20130103",96.25,96,94.25,94.25,93.5,94.25,96,98,98.25,98,97.75,96.75,95.75,96.25,94.5,95.75,96.75,97.5,98.25,98.75,98.5,98.5,97.75,96.5,95.5,94.75,95.75,97.5,96.5,94.75,97,97.25,98.75,98,98.5,98.25,96.75,95.75,96.25,95,97,98.5,98,97.5,97,97.5,97.75,97.5,97,96.5,93.25,93.75,93,94.25,96.75,97.5,98.75,98.5,98.5,98,98.25,96.75,97.25,96,97.5,98.5,98.25,98.5,98,98,98.25,97.75
49,2013-01-04,2013,"201301","20130104",96.75,94.75,93.75,93.5,93.75,94.5,96.25,98.5,98.5,98.75,98.5,97.5,98.5,96.25,94.25,93,95.25,97.25,98,98.5,98,97.75,98,97.25,97,97.75,95.75,94.25,91.75,92.25,97.25,98.25,98.5,97.5,97,96.5,96,95,95.75,92.25,95.75,98,97.75,97.5,98,97.5,97.75,97.25,95.25,95,95.5,95.75,94.5,94.75,96.25,98.25,99.75,98.25,97.25,97,96.5,96.25,95.25,92.5,96.25,97,97.5,98.25,98.25,97.5,96.75,97
49,2013-01-05,2013,"201301","20130105",97,96.5,95,93.75,92.75,94.25,94.25,97,98,98.25,96.5,96.25,96.75,94.5,92.5,95.25,96,98,97,96.5,98.25,97.5,97.75,98,97.25,96,93.75,94.25,94.5,93.5,97,97.5,98.75,98.5,97.75,97.5,96.5,93,93.75,95.75,96.25,98.5,98.75,99,98,98.25,97.75,98,96.25,94,93.5,90,91.25,95,94,97.75,96.5,98.5,97.25,95.5,97.5,95.75,96.5,94.5,95.5,96.5,98.25,98,97.5,97.5,97.25,95.5
49,2013-01-06,2013,"201301","20130106",96.5,95.25,94.5,94,91.5,92.5,95.5,98,98.5,97.75,97.25,98,98,95.5,96.75,94.75,94.75,97.25,98.5,98.5,98.25,97.5,97.25,95,97,95.25,94.25,94.75,93.75,91.5,97.5,93.5,97.5,97,98.5,97,97.75,96.25,95.75,95.75,95.25,97.25,98.75,96.5,97.25,98,96.75,97.75,97.25,97.25,95,96,95.25,95.5,98.25,97.75,98.25,98.75,97.75,97.5,97.25,95.5,94.25,94.25,96.25,96,98.5,98.5,98,98.5,97.25,96.25
49,2013-01-07,2013,"201301","20130107",96.75,97.5,94.75,95.75,92.25,95.25,97.75,98,98.75,98,98.25,97.25,97.25,96,94.5,96.25,96.75,97,97.75,98.5,98.25,98,98.25,97.5,93.75,92.25,88.25,90.75,91,93.5,96.25,97,98.25,97.5,95.5,96.75,95.25,94.5,95,93.5,95.75,97.25,98.25,98,98.25,97.75,97.25,97.25,96.5,96.25,95.25,93,93.25,94.75,98.25,97.25,99,98.75,96,97,96.5,95.5,97,95.25,97.25,98,98.5,97.25,97.75,97.75,97.75,97.25
49,2013-01-08,2013,"201301","20130108",96.25,93,94.5,94.75,93,95.75,96.75,97.25,98.25,98.5,97.75,97.75,96.75,97,96,94.25,96.75,98,98.75,98.5,98,97.5,98.25,97,97.25,92.75,93.75,93,93.25,96.25,98,98.75,97.75,98.75,96.75,97.25,97.75,93.75,95,94.5,95.25,99,99.25,98.25,98.25,97.25,97.5,97.5,93.75,92.75,92.75,91.75,94.25,92,96.5,98,97,98,98.25,96.25,97.5,94,95.75,94.75,95.75,97,98.75,97.75,97.75,98,97.25,96.5
49,2013-01-09,2013,"201301","20130109",94,92.5,91.75,91.25,92.75,94.5,94.25,96.75,98.75,96.5,97.75,97.25,97.25,95.75,94.5,97,97.25,98.75,98.25,97.75,97.5,97.75,97.75,97.5,96.5,95,97.25,94.5,94.5,95.25,96.25,98.25,98,97.5,98.5,98.25,98,94.5,94.75,96,97.5,98.25,97.5,97.5,98,97.25,98,97,95.75,97.5,95.5,93.75,93.5,95.5,96,96.25,98.25,98,96.5,96.25,95.5,95.5,94,96.25,97,99,97.25,97.75,97.25,97.75,96.75,98
49,2013-01-10,2013,"201301","20130110",96.75,96.5,92.25,93.25,94,93.75,98,98.75,96.75,97,98.25,96.5,98,95.5,97.5,96.75,96,99,98.75,97.75,98,97.75,98.25,97.25,96.5,95.25,92.25,95.75,93.75,92.75,97.75,97.75,98.25,98.75,96.25,95.75,96,95.25,95,95.75,95.25,98.25,97.5,98,98.25,98.25,97.75,98,95.25,94.5,93.5,94.25,93.25,96.5,97.75,98.75,96.75,97.25,97.75,97,97.25,95.75,97.25,95.75,94.5,97.75,98.5,98.5,98,97,96.25,96.75
49,2013-01-11,2013,"201301","20130111",96.5,96,95.5,95.25,94.75,95,97.75,96.75,98,98.5,97.5,97,96,94.25,95.25,98.25,96.75,97.25,98,97.25,97.75,98.5,98,98,96,94.25,92.75,94.75,94,92,98,98.25,97.75,97,98.25,96.75,95.5,94.5,94,96.25,95.5,97,97.75,98.5,98,97.5,98.25,98,97,94.5,94.25,91,93.5,93,97.5,97.75,97.5,97,97.5,97.25,96,96,97.25,97.25,95.5,98,98.25,99,97.75,97.75,97.75,96.75
