1725->311_0,1,899,1725,311_0,375.22,72.91,,3级越限
1725->312_0,1,901,1725,312_0,384.57,72.63,,3级越限
2286->301_0,4,884,2286,301_0,241.64,166.14,,3级越限
2286->302_0,4,886,2286,302_0,242.59,167.47,,3级越限
189->195,7,649,189,195,-22.03,83.19,,3级越限
189->196,7,650,189,196,-440.75,126.27,,3级越限
189->194,7,648,189,194,-451.66,133.54,,3级越限
2496->340_0,8,950,2496,340_0,-105.81,152.26,,3级越限
2496->341_0,8,952,2496,341_0,-104.02,149.86,,3级越限
277->278,9,653,277,278,-678.76,351.31,,3级越限
277->281,9,654,277,281,-659.3,376.05,,3级越限
276->282,10,655,276,282,-622.74,342.08,,3级越限
276->285,10,656,276,285,-650.62,362.25,,3级越限
6186->6217,11,2242,6186,6217,-0.24,1262.45,,3级越限
6186->6216,11,2243,6186,6216,-0.31,-1257.38,,3级越限
286->295,12,668,286,295,-609.97,199.97,,3级越限
286->289,12,663,286,289,-605.25,181.82,,3级越限
286->288,12,662,286,288,-599.43,206.75,,3级越限
286->293,12,667,286,293,-627.26,196.46,,3级越限
286->291,12,665,286,291,-631.95,200.85,,3级越限
286->292,12,666,286,292,-618.79,188.83,,3级越限
286->290,12,664,286,290,-609.85,199.52,,3级越限
286->287,12,661,286,287,-618.96,209.14,,3级越限
943->294_0,13,878,943,294_0,306.7,23.26,,3级越限
943->295_0,13,880,943,295_0,323.72,15.02,,3级越限
886->318_0,15,911,886,318_0,184.31,40.08,,3级越限
886->319_0,15,913,886,319_0,190.66,51.94,,3级越限
488->249_0,17,820,488,249_0,1.95,-4.96,,3级越限
1588->678_0,18,1688,1588,678_0,57.19,2.82,,3级越限
1588->524_0,18,1343,1588,524_0,58.45,7.61,,3级越限
1906->542_0,19,1391,1906,542_0,39.79,4.83,,3级越限
1906->1915,19,1397,1906,1915,39.99,5.83,,3级越限
1906->541_0,19,1388,1906,541_0,39.79,4.83,,3级越限
1906->543_0,19,1394,1906,543_0,39.79,4.83,,3级越限
1906->540_0,19,1385,1906,540_0,39.79,4.83,,3级越限
499->625_0,20,1570,499,625_0,9.35,0.92,,3级越限
499->624_0,20,1567,499,624_0,8.84,3.24,,3级越限
2056->2060,22,729,2056,2060,-41.21,-0.65,,3级越限
2056->334_0,22,937,2056,334_0,-48.36,0.32,,3级越限
1296->305_0,24,891,1296,305_0,319.56,97.34,,3级越限
1296->306_0,24,893,1296,306_0,325.53,105.23,,3级越限
543->546,25,681,543,546,-148.65,28.37,,3级越限
543->547,25,682,543,547,-149.34,24.59,,3级越限
543->544,25,680,543,544,-141.03,33.1,,3级越限
2146->446_0,26,1162,2146,446_0,58.81,10.39,,3级越限
2146->445_0,26,1159,2146,445_0,59.26,11.11,,3级越限
580->756_0,27,1871,580,756_0,14.22,1.36,,3级越限
580->755_0,27,1868,580,755_0,14.25,1.23,,3级越限
1767->1251_0,28,2166,1767,1251_0,75.43,5.67,,3级越限
1767->448_0,28,1165,1767,448_0,47.89,11.24,,3级越限
1374->537_0,29,1376,1374,537_0,64.24,-4.69,,3级越限
1374->536_0,29,1373,1374,536_0,66.06,-8.1,,3级越限
687->256_0,30,831,687,256_0,-406.34,-22.81,,3级越限
687->257_0,30,833,687,257_0,-410.29,91.83,,3级越限
1559->366_0,31,972,1559,366_0,202,-10.9,,3级越限
1559->293_0,31,876,1559,293_0,205.66,-11.55,,3级越限
1559->292_0,31,874,1559,292_0,205.6,-11.51,,3级越限
555->281_0,32,861,555,281_0,-8.3,-3.95,,3级越限
555->557,32,679,555,557,-35.82,17.02,,3级越限
784->789,36,687,784,789,-540.24,105.01,,3级越限
784->790,36,688,784,790,-529.43,83.18,,3级越限
784->788,36,686,784,788,-539.5,86.81,,3级越限
784->786,36,685,784,786,-538.54,94.75,,3级越限
1517->327_0,37,928,1517,327_0,145.58,72.84,,3级越限
1517->326_0,37,926,1517,326_0,147.81,58.69,,3级越限
843->844,38,693,843,844,-217.91,15.91,,3级越限
1090->422_0,39,1093,1090,422_0,65.49,29.56,,3级越限
1090->423_0,39,1096,1090,423_0,73.88,33.4,,3级越限
846->848,40,696,846,848,-108.81,12.74,,3级越限
846->847,40,695,846,847,-110.15,5.52,,3级越限
1456->511_0,41,1309,1456,511_0,41.39,-4.97,,3级越限
1456->512_0,41,1312,1456,512_0,41.39,-6.11,,3级越限
1382->593_0,42,1496,1382,593_0,39.87,-2.11,,3级越限
1382->594_0,42,1499,1382,594_0,46.85,-1.98,,3级越限
10902->845,43,694,10902,845,-204.35,60.11,,3级越限
3313->617_0,44,1553,3313,617_0,41.67,1.98,,3级越限
857->253_0,45,825,857,253_0,-0.02,1.26,,3级越限
857->862,45,823,857,862,10.51,1.66,,3级越限
857->254_0,45,828,857,254_0,-0.02,1.26,,3级越限
857->863,45,824,857,863,-0.22,0.23,,3级越限
623->409_0,46,1054,623,409_0,64.55,10.09,,3级越限
623->410_0,46,1057,623,410_0,63.13,6.81,,3级越限
3091->3095,47,806,3091,3095,-175.17,79.74,,3级越限
884->885,49,697,884,885,-30.75,-0.81,,3级越限
1754->601_0,50,1520,1754,601_0,49.39,-7.14,,3级越限
1754->602_0,50,1523,1754,602_0,43.11,-1.8,,3级越限
517->519,51,678,517,519,-19.72,2.69,,3级越限
1000->321_0,52,916,1000,321_0,-636.12,136.15,,3级越限
1000->320_0,52,915,1000,320_0,-634.85,23.51,,3级越限
570->520_0,53,1336,570,520_0,90.06,4.4,,3级越限
570->519_0,53,1333,570,519_0,111.03,24.55,,3级越限
570->699_0,53,1739,570,699_0,108.24,4.74,,3级越限
1959->566_0,54,1421,1959,566_0,71.44,12.24,,3级越限
