bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P0,load_Q0,generation_p0,generation_Q0,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,load_P,load_Q,generation_p,generation_Q
1,0,0,1,1,1.00206,-14.2197,0,0,0,0,500,525,0,0,0,0,0,1.002059048,0,0,0,1,0,0,0,0,0,0
2,1,0,1,1,1.00254,-13.2212,-0.1126,-0.30439,0,0,500,525,0,0,0,18.6,0,1.002535238,0,0,0,1,0,0,-0.13512,-0.365268,0,0
3,2,0,1,1,0.947546,-5.90159,-14.5558,6.94706,0,0,500,525,0,0,0,0,0,0,0,-1510.31,-773.01,0,0,0,-17.46696,8.336472,0,0
4,3,0,1,1,1.00041,-12.5018,0,0,0,0,500,525,0,0,0,0,0,1.000409524,0,0,0,1,0,0,0,0,0,0
5,4,0,1,1,1.00148,-10.8882,0,0,0,0,500,525,0,0,0,18,0,1.00148,0,0,0,1,0,0,0,0,0,0
6,5,0,1,1,0.947271,-5.88039,-14.5928,6.97441,0,0,500,525,0,0,0,0,0,0,0,-1517.88,-772.71,0,0,0,-17.51136,8.369292,0,0
7,6,0,1,1,1.01524,-1.11093,0,0,0,0,500,525,0,0,0,0,0,1.01523619,0,0,0,1,0,0,0,0,0,0
8,7,0,1,1,1.01579,-2.026,0,0,0,0,500,525,0,0,0,0,0,1.015790476,0,0,0,1,0,0,0,0,0,0
9,8,0,1,1,1.00145,-9.51388,0,0,0,0,500,525,0,0,0,0,0,1.001451429,0,0,0,1,0,0,0,0,0,0
10,9,0,1,1,1.00182,-9.58203,0,0,0,0,500,525,0,0,0,0,0,1.001819048,0,0,0,1,0,0,0,0,0,0
11,10,0,1,1,0.999987,-10.6754,45.9219,19.7288,0,0,500,525,0,0,0,52,0,0.999986667,0,4593.99,1972.91,1,0,0,55.10628,23.67456,0,0
12,11,0,1,1,0.998512,-1.99926,0,0,0,0,500,525,0,0,0,0,0,0.998512381,0,0,0,1,0,0,0,0,0,0
13,12,0,1,1,0.997738,-15.8934,0,0,0,0,500,525,0,0,0,0,0,0.997737143,0,0,0,1,0,0,0,0,0,0
14,13,0,1,1,0.996774,-12.898,-7.08436,-3.55756,0,0,500,525,0,0,0,-3.2876,0,0.996775238,0,0,0,1,0,0,-8.501232,-4.269072,0,0
15,14,0,1,1,1.00153,-14.4616,0,0,0,0,500,525,0,0,0,-1.8,0,1.001533333,0,0,0,1,0,0,0,0,0,0
16,15,0,1,1,0.988682,-20.1234,8.67411,0.64805,0,0,500,525,0,0,0,0,0,0.988681905,0,0,0,1,0,0,10.408932,0.77766,0,0
17,16,0,1,1,1.00272,-16.6578,-3.00E-05,1.00E-05,0,0,220,230,0,0,0,0,0,1.002717391,0,0,0,1,0,0,-0.000036,0.000012,0,0
18,17,0,1,1,1.00227,-17.0825,0,0,0,0,220,230,0,0,0,0,0,1.002265217,0,0,0,1,0,0,0,0,0,0
19,18,0,1,1,1.0006,-16.1418,0,0,0,0,220,230,0,0,0,0,0,1.000604348,0,0,0,1,0,0,0,0,0,0
20,19,0,1,1,1.002,-15.6929,0.00614,-0.09626,0,0,220,230,0,0,0,0,0,1.001995652,0,0,-9.85,1,0,0,0.007368,-0.115512,0,0
