tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,CA
1,2,1,1,1,0,0.0303,0.0999,0.0254,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,1,1,1,0,0.0129,0.0424,0.01082,1,0,0,0,0,0,0,0,0,0,0,0,1
4,5,1,1,1,0,0.00176,0.00798,0.0021,1,0,0,0,0,0,0,0,0,0,0,0,1
3,5,1,1,1,0,0.0241,0.108,0.0284,1,0,0,0,0,0,0,0,0,0,0,0,1
5,6,1,1,1,0,0.0119,0.054,0.01426,1,0,0,0,0,0,0,0,0,0,0,0,1
6,7,1,1,1,0,0.00459,0.0208,0.0055,1,0,0,0,0,0,0,0,0,0,0,0,1
8,9,1,1,1,0,0.00244,0.0305,1.162,1,0,0,0,0,0,0,0,0,0,0,0,1
8,5,1,1,1,1,0,0.0267,0,1,0,0,0,0,0.985,0,0,0,0,0,0,1
9,10,1,1,1,0,0.00258,0.0322,1.23,1,0,0,0,0,0,0,0,0,0,0,0,1
4,11,1,1,1,0,0.0209,0.0688,0.01748,1,0,0,0,0,0,0,0,0,0,0,0,1
5,11,1,1,1,0,0.0203,0.0682,0.01738,1,0,0,0,0,0,0,0,0,0,0,0,1
11,12,1,1,1,0,0.00595,0.0196,0.00502,1,0,0,0,0,0,0,0,0,0,0,0,1
2,12,1,1,1,0,0.0187,0.0616,0.01572,1,0,0,0,0,0,0,0,0,0,0,0,1
3,12,1,1,1,0,0.0484,0.16,0.0406,1,0,0,0,0,0,0,0,0,0,0,0,1
7,12,1,1,1,0,0.00862,0.034,0.00874,1,0,0,0,0,0,0,0,0,0,0,0,1
11,13,1,1,1,0,0.02225,0.0731,0.01876,1,0,0,0,0,0,0,0,0,0,0,0,1
12,14,1,1,1,0,0.0215,0.0707,0.01816,1,0,0,0,0,0,0,0,0,0,0,0,1
